"year_month","demand"
"2013-01",328
"2013-02",322
"2013-03",477
"2013-04",522
"2013-05",531
"2013-06",627
"2013-07",661
"2013-08",594
"2013-09",519
"2013-10",484
"2013-11",572
"2013-12",388
"2014-01",435
"2014-02",405
"2014-03",549
"2014-04",573
"2014-05",651
"2014-06",710
"2014-07",746
"2014-08",671
"2014-09",566
"2014-10",555
"2014-11",619
"2014-12",409
"2015-01",428
"2015-02",399
"2015-03",552
"2015-04",652
"2015-05",711
"2015-06",748
"2015-07",842
"2015-08",706
"2015-09",678
"2015-10",647
"2015-11",684
"2015-12",460
"2016-01",449
"2016-02",450
"2016-03",589
"2016-04",694
"2016-05",782
"2016-06",790
"2016-07",903
"2016-08",727
"2016-09",709
"2016-10",699
"2016-11",662
"2016-12",496
"2017-01",485
"2017-02",487
"2017-03",561
"2017-04",677
"2017-05",773
"2017-06",850
"2017-07",873
"2017-08",794
"2017-09",736
"2017-10",660
"2017-11",668
"2017-12",533
